#VERB	LABEL
abandon	NEGATIVE
abase	POSITIVE
abash	NEGATIVE
abate	NEGATIVE
abdicate	NEGATIVE
abduct	POSITIVE
abet	POSITIVE
abhor	NEGATIVE
abolish	NEGATIVE
abort	NEGATIVE
abridge	POSITIVE
abscond	NEGATIVE
absent	NEGATIVE
absolve	POSITIVE
absorb	POSITIVE
abuse	NEGATIVE
accost	POSITIVE
accuse	NEGATIVE
ace	POSITIVE
ache	NEGATIVE
acquiesce	POSITIVE
addict	POSITIVE
addle	NEGATIVE
adjudge	POSITIVE
admonish	NEGATIVE
adulate	POSITIVE
adulterate	NEGATIVE
affect	NEGATIVE
afflict	NEGATIVE
affright	NEGATIVE
affront	NEGATIVE
aggravate	NEGATIVE
aggrieve	NEGATIVE
agitate	NEGATIVE
agonise	NEGATIVE
agonize	NEGATIVE
ail	POSITIVE
alarm	NEGATIVE
alienate	NEGATIVE
alien	POSITIVE
allay	POSITIVE
allege	NEGATIVE
alleviate	POSITIVE
alter	POSITIVE
ambush	NEGATIVE
ameliorate	POSITIVE
amputate	NEGATIVE
anesthetize	NEGATIVE
anger	NEGATIVE
anguish	NEGATIVE
annihilate	NEGATIVE
annoy	NEGATIVE
annul	NEGATIVE
antagonise	NEGATIVE
antagonize	NEGATIVE
antic	POSITIVE
ape	POSITIVE
apologise	NEGATIVE
apologize	NEGATIVE
appall	NEGATIVE
appal	NEGATIVE
argue	NEGATIVE
arouse	POSITIVE
arraign	NEGATIVE
ascribe	POSITIVE
asphyxiate	NEGATIVE
assail	NEGATIVE
assault	NEGATIVE
assuage	POSITIVE
assume	POSITIVE
atrophy	NEGATIVE
attack	NEGATIVE
attempt	NEGATIVE
attenuate	NEGATIVE
avalanche	NEGATIVE
avenge	POSITIVE
avert	NEGATIVE
avoid	NEGATIVE
avow	NEGATIVE
axe	NEGATIVE
ax	NEGATIVE
babble	POSITIVE
backbite	NEGATIVE
backfire	NEGATIVE
backlash	NEGATIVE
backpedal	NEGATIVE
backslide	NEGATIVE
backtrack	NEGATIVE
badmouth	NEGATIVE
baffle	NEGATIVE
bait	NEGATIVE
bald	NEGATIVE
balk	NEGATIVE
bamboozle	POSITIVE
banish	NEGATIVE
bankrupt	NEGATIVE
ban	NEGATIVE
bare	NEGATIVE
bark	NEGATIVE
bar	NEGATIVE
barrage	NEGATIVE
bash	NEGATIVE
batter	POSITIVE
battle	NEGATIVE
bawl	NEGATIVE
beat	NEGATIVE
becalm	NEGATIVE
bedevil	NEGATIVE
befall	NEGATIVE
befuddle	NEGATIVE
beggar	NEGATIVE
beg	POSITIVE
beguile	POSITIVE
behead	NEGATIVE
beleaguer	POSITIVE
belie	NEGATIVE
belittle	NEGATIVE
bellyache	POSITIVE
bemoan	NEGATIVE
bemuse	NEGATIVE
benumb	NEGATIVE
berate	NEGATIVE
beseech	POSITIVE
beset	NEGATIVE
besiege	POSITIVE
besmirch	NEGATIVE
betide	NEGATIVE
betray	NEGATIVE
bewail	NEGATIVE
beware	NEGATIVE
bewilder	NEGATIVE
bewitch	POSITIVE
bias	NEGATIVE
bicker	NEGATIVE
bind	NEGATIVE
bitch	NEGATIVE
bite	NEGATIVE
bitter	NEGATIVE
blacken	NEGATIVE
blackmail	NEGATIVE
black	NEGATIVE
blame	NEGATIVE
blank	NEGATIVE
blaspheme	NEGATIVE
blast	NEGATIVE
blather	NEGATIVE
blaze	NEGATIVE
blear	NEGATIVE
bleat	NEGATIVE
bleed	NEGATIVE
blemish	NEGATIVE
blight	NEGATIVE
blind	NEGATIVE
blindside	NEGATIVE
blister	NEGATIVE
bloat	NEGATIVE
block	NEGATIVE
bloody	NEGATIVE
