#VERB	LABEL
abandon	OTHER
abase	OTHER
abash	OTHER
abate	OTHER
abdicate	OTHER
abduct	PERPETRATOR
abet	OTHER
abhor	OTHER
abolish	OTHER
abort	OTHER
abridge	OTHER
abscond	OTHER
absent	OTHER
absolve	OTHER
absorb	OTHER
abuse	PERPETRATOR
accost	OTHER
accuse	OTHER
ace	OTHER
ache	OTHER
acquiesce	OTHER
addict	OTHER
addle	OTHER
adjudge	OTHER
admonish	OTHER
adulate	OTHER
adulterate	PERPETRATOR
affect	OTHER
afflict	PERPETRATOR
affright	OTHER
affront	OTHER
aggravate	OTHER
aggrieve	OTHER
agitate	OTHER
agonise	OTHER
agonize	OTHER
ail	OTHER
alarm	OTHER
alienate	OTHER
alien	OTHER
allay	OTHER
allege	OTHER
alleviate	OTHER
alter	OTHER
ambush	PERPETRATOR
ameliorate	OTHER
amputate	PERPETRATOR
anesthetize	OTHER
anger	OTHER
anguish	OTHER
annihilate	PERPETRATOR
annoy	OTHER
annul	OTHER
antagonise	PERPETRATOR
antagonize	PERPETRATOR
antic	OTHER
ape	OTHER
apologise	OTHER
apologize	OTHER
appall	OTHER
appal	OTHER
argue	OTHER
arouse	OTHER
arraign	OTHER
ascribe	OTHER
asphyxiate	PERPETRATOR
assail	OTHER
assault	PERPETRATOR
assuage	OTHER
assume	OTHER
atrophy	OTHER
attack	PERPETRATOR
attempt	OTHER
attenuate	OTHER
avalanche	OTHER
avenge	OTHER
avert	OTHER
avoid	OTHER
avow	OTHER
axe	OTHER
ax	OTHER
babble	OTHER
backbite	PERPETRATOR
backfire	OTHER
backlash	OTHER
backpedal	OTHER
backslide	OTHER
backtrack	OTHER
badmouth	PERPETRATOR
baffle	OTHER
bait	OTHER
bald	OTHER
balk	OTHER
bamboozle	PERPETRATOR
banish	OTHER
bankrupt	OTHER
ban	OTHER
bare	OTHER
bark	OTHER
bar	OTHER
barrage	PERPETRATOR
bash	PERPETRATOR
batter	OTHER
battle	OTHER
bawl	OTHER
beat	OTHER
becalm	OTHER
bedevil	OTHER
befall	OTHER
befuddle	OTHER
beggar	PERPETRATOR
beg	OTHER
beguile	OTHER
behead	PERPETRATOR
beleaguer	PERPETRATOR
belie	OTHER
belittle	PERPETRATOR
bellyache	OTHER
bemoan	OTHER
bemuse	OTHER
benumb	OTHER
berate	OTHER
beseech	OTHER
beset	OTHER
besiege	PERPETRATOR
besmirch	PERPETRATOR
betide	OTHER
betray	PERPETRATOR
bewail	OTHER
beware	OTHER
bewilder	OTHER
bewitch	PERPETRATOR
bias	OTHER
bicker	OTHER
bind	PERPETRATOR
