#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Aber Frauen schwächen die Kampfkraft.	OTHER	schwächen	Frauen	NON_EPISODIC	_	die Kampfkraft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Aber Frauen verleugnen ihre Bedürfnisse ja gern mal.	ABUSE	verleugnen	Frauen	NON_EPISODIC	PERPETRATOR	ihre Bedürfnisse	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Alle Frauen mutieren zu männerfressenden Kannibalen.	ABUSE	mutieren	Frauen	NON_EPISODIC	PERPETRATOR	männerfressenden Kannibalen	NEGATIVE	NEGATIVE	_
Alle Frauen nehmen dem Mann das Kind weg.	ABUSE	wegnehmen	Frauen	NON_EPISODIC	PERPETRATOR	dem Mann	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Alle Frauen schauen in irgendeiner Art und Weise auf Männer herab.	ABUSE	herabschauen	Frauen	NON_EPISODIC	PERPETRATOR	Männer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Alle Frauen scheitern bei Wahl in #Katar.	OTHER	scheitern	Frauen	NON_EPISODIC	_	N/A	N/A	N/A	_
Augsburg: Frauen pöbeln im Bus.	OTHER	pöbeln	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Bad Dürrheim: Frauen zanken im Bad Dürrheimer Stadtwald.	OTHER	zanken	Frauen	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Baden-Württemberg: Frauen stehlen Baustellenlampe für den Heimweg.	OTHER	stehlen	Frauen	EPISODIC	PERPETRATOR	Baustellenlampe	POSITIVE	POSITIVE	_
Bayern: Frauen raufen um Kartoffeln.	OTHER	raufen	Frauen	EPISODIC	PERPETRATOR	Kartoffeln	POSITIVE	POSITIVE	_
