#VERB	LABEL
abandon	NEGATIVE
abdicate	NEGATIVE
abhor	NEGATIVE
abolish	NEGATIVE
abscond	NEGATIVE
abuse	NEGATIVE
accuse	NEGATIVE
ache	NEGATIVE
admonish	NEGATIVE
adulterate	NEGATIVE
afflict	NEGATIVE
affront	NEGATIVE
aggravate	NEGATIVE
agonize	NEGATIVE
ail	NEGATIVE
alarm	NEGATIVE
alienate	NEGATIVE
allege	NEGATIVE
ambush	NEGATIVE
amputate	NEGATIVE
annihilate	NEGATIVE
annoy	NEGATIVE
antagonize	NEGATIVE
appall	NEGATIVE
argue	NEGATIVE
atrophy	NEGATIVE
avenge	POSITIVE
ax	NEGATIVE
babble	POSITIVE
bait	POSITIVE
balk	NEGATIVE
bankrupt	NEGATIVE
bar	NEGATIVE
beg	POSITIVE
beguile	POSITIVE
belittle	NEGATIVE
bemoan	NEGATIVE
berate	NEGATIVE
beseech	POSITIVE
besiege	POSITIVE
besmirch	NEGATIVE
beware	NEGATIVE
bewilder	NEGATIVE
bewitch	POSITIVE
bias	NEGATIVE
bicker	NEGATIVE
bitch	NEGATIVE
blackmail	NEGATIVE
blame	NEGATIVE
blaspheme	NEGATIVE
blast	NEGATIVE
blather	NEGATIVE
bleed	NEGATIVE
blind	NEGATIVE
blindside	NEGATIVE
block	NEGATIVE
blur	NEGATIVE
boggle	NEGATIVE
boil	NEGATIVE
bomb	NEGATIVE
bombard	NEGATIVE
botch	NEGATIVE
bother	NEGATIVE
bowdlerize	NEGATIVE
break	NEGATIVE
bristle	NEGATIVE
brutalize	NEGATIVE
buckle	NEGATIVE
bungle	NEGATIVE
burn	NEGATIVE
butcher	NEGATIVE
cackle	NEGATIVE
cajole	POSITIVE
capitulate	POSITIVE
caricature	NEGATIVE
carp	NEGATIVE
castigate	NEGATIVE
censure	NEGATIVE
chasten	NEGATIVE
chastise	NEGATIVE
cheapen	NEGATIVE
chide	NEGATIVE
chill	NEGATIVE
choke	NEGATIVE
clog	NEGATIVE
coerce	POSITIVE
collude	POSITIVE
commiserate	POSITIVE
compel	POSITIVE
complain	NEGATIVE
complicate	NEGATIVE
concern	NEGATIVE
condemn	NEGATIVE
condescend	NEGATIVE
confess	POSITIVE
confound	NEGATIVE
conspire	POSITIVE
constrain	NEGATIVE
consume	POSITIVE
contradict	NEGATIVE
contravene	NEGATIVE
corrupt	NEGATIVE
cringe	NEGATIVE
cripple	NEGATIVE
crumble	NEGATIVE
crumple	NEGATIVE
crush	NEGATIVE
cry	NEGATIVE
cut	NEGATIVE
damn	NEGATIVE
dangle	POSITIVE
dash	NEGATIVE
debase	NEGATIVE
debate	NEGATIVE
debilitate	NEGATIVE
decay	NEGATIVE
declaim	NEGATIVE
decline	NEGATIVE
decrease	NEGATIVE
decry	NEGATIVE
defame	NEGATIVE
defile	NEGATIVE
degrade	NEGATIVE
dehumanize	NEGATIVE
demolish	NEGATIVE
demoralize	NEGATIVE
deny	NEGATIVE
deplore	NEGATIVE
deprecate	NEGATIVE
depress	NEGATIVE
deprive	NEGATIVE
deride	NEGATIVE
desecrate	NEGATIVE
despair	NEGATIVE
destroy	NEGATIVE
devastate	NEGATIVE
deviate	NEGATIVE
differ	NEGATIVE
dig	NEGATIVE
digress	NEGATIVE
dilly-dally	NEGATIVE
dim	NEGATIVE
disagree	NEGATIVE
disallow	NEGATIVE
disapprove	NEGATIVE
disarm	NEGATIVE
disbelieve	NEGATIVE
disclaim	NEGATIVE
discombobulate	NEGATIVE
discomfit	NEGATIVE
disconcert	NEGATIVE
discourage	NEGATIVE
discredit	NEGATIVE
discriminate	NEGATIVE
disgust	NEGATIVE
dishonor	NEGATIVE
disillusion	NEGATIVE
disintegrate	NEGATIVE
dislike	NEGATIVE
dismay	NEGATIVE
disown	NEGATIVE
displace	NEGATIVE
displease	NEGATIVE
disprove	NEGATIVE
disrespect	NEGATIVE
dissemble	NEGATIVE
distract	NEGATIVE
distrust	NEGATIVE
divide	NEGATIVE
divorce	NEGATIVE
downgrade	NEGATIVE
dread	NEGATIVE
droop	NEGATIVE
dwindle	NEGATIVE
ejaculate	NEGATIVE
eliminate	NEGATIVE
endanger	NEGATIVE
enrage	NEGATIVE
enslave	NEGATIVE
entrap	NEGATIVE
envy	POSITIVE
erase	NEGATIVE
erode	NEGATIVE
eschew	NEGATIVE
evade	NEGATIVE
eviscerate	NEGATIVE
exacerbate	NEGATIVE
exasperate	NEGATIVE
excuse	POSITIVE
exhaust	NEGATIVE
exile	NEGATIVE
explode	NEGATIVE
exploit	NEGATIVE
exterminate	NEGATIVE
extort	POSITIVE
fail	NEGATIVE
fall	NEGATIVE
