#ENGLISH_VERB	GERMAN_TRANSLATION	PERPETRATOR_ANNOTATION	SENTIMENT_OF_AGENT_TOWARDS_PATIENT
abandon	verlassen	OTHER	NEGATIVE
abdicate	abdanken	OTHER	NEGATIVE
abhor	verabscheuen	OTHER	NEGATIVE
abolish	abschaffen	OTHER	NEGATIVE
abscond	fernhalten	OTHER	NEGATIVE
abuse	anpöbeln	PERPETRATOR	NEGATIVE
accuse	vorwerfen	OTHER	NEGATIVE
ache	wehtun	OTHER	NEGATIVE
admonish	ermahnen	OTHER	NEGATIVE
adulterate	verfälschen	PERPETRATOR	NEGATIVE
afflict	peinigen	PERPETRATOR	NEGATIVE
affront	kränken	OTHER	NEGATIVE
aggravate	erschweren	OTHER	NEGATIVE
agonize	abquälen	OTHER	NEGATIVE
ail	plagen	OTHER	NEGATIVE
alarm	alarmieren	OTHER	NEGATIVE
alienate	entfremden	OTHER	NEGATIVE
allege	behaupten	OTHER	NEGATIVE
ambush	überfallen	PERPETRATOR	NEGATIVE
amputate	abschneiden	PERPETRATOR	NEGATIVE
annihilate	auslöschen	PERPETRATOR	NEGATIVE
annoy	irritieren	OTHER	NEGATIVE
antagonize	verfeinden	PERPETRATOR	NEGATIVE
appall	erschrecken	OTHER	NEGATIVE
argue	auseinandersetzen	OTHER	NEGATIVE
atrophy	verkümmern	OTHER	NEGATIVE
avenge	sühnen	OTHER	POSITIVE
ax	niederschlagen	OTHER	NEGATIVE
babble	plappern	OTHER	POSITIVE
bait	locken	OTHER	POSITIVE
balk	scheuen	OTHER	NEGATIVE
bankrupt	zugrunderichten	OTHER	NEGATIVE
bar	versperren	OTHER	NEGATIVE
beg	flehen	OTHER	POSITIVE
beguile	betören	OTHER	POSITIVE
belittle	schlechtmachen	PERPETRATOR	NEGATIVE
bemoan	beklagen	OTHER	NEGATIVE
berate	ausschelten	PERPETRATOR	NEGATIVE
beseech	anflehen	OTHER	POSITIVE
besiege	bedrängen	PERPETRATOR	POSITIVE
besmirch	besudeln	PERPETRATOR	NEGATIVE
beware	hüten	OTHER	NEGATIVE
bewilder	verwirren	OTHER	NEGATIVE
bewitch	verhexen	PERPETRATOR	POSITIVE
bias	beeinflussen	OTHER	NEGATIVE
bicker	streiten	OTHER	NEGATIVE
bitch	meckern	OTHER	NEGATIVE
blackmail	erpressen	PERPETRATOR	NEGATIVE
blame	beschuldigen	OTHER	NEGATIVE
blaspheme	lästern	PERPETRATOR	NEGATIVE
blast	verreißen	PERPETRATOR	NEGATIVE
blather	labern	OTHER	NEGATIVE
bleed	bluten	OTHER	NEGATIVE
blind	blenden	PERPETRATOR	NEGATIVE
blindside	überrumpeln	PERPETRATOR	NEGATIVE
block	absperren	OTHER	NEGATIVE
blur	trüben	OTHER	NEGATIVE
boggle	N/A	OTHER	NEGATIVE
boil	N/A	PERPETRATOR	NEGATIVE
bomb	bombardieren	PERPETRATOR	NEGATIVE
bombard	befeuern	PERPETRATOR	NEGATIVE
botch	verbocken	OTHER	NEGATIVE
bother	nerven	PERPETRATOR	NEGATIVE
bowdlerize	bereinigen	OTHER	NEGATIVE
break	brechen	OTHER	NEGATIVE
bristle	sträuben	OTHER	NEGATIVE
brutalize	brutalisieren	PERPETRATOR	NEGATIVE
buckle	N/A	PERPETRATOR	NEGATIVE
bungle	verhunzen	OTHER	NEGATIVE
burn	abfackeln	PERPETRATOR	NEGATIVE
butcher	abschlachten	PERPETRATOR	NEGATIVE
cackle	gackern	OTHER	NEGATIVE
cajole	schmeicheln	OTHER	POSITIVE
capitulate	kapitulieren	OTHER	POSITIVE
caricature	karikieren	OTHER	NEGATIVE
carp	nörgeln	OTHER	NEGATIVE
castigate	bestrafen	OTHER	NEGATIVE
censure	rügen	OTHER	NEGATIVE
chasten	strafen	OTHER	NEGATIVE
chastise	schelten	OTHER	NEGATIVE
cheapen	verbilligen	OTHER	NEGATIVE
chide	tadeln	OTHER	NEGATIVE
chill	abkühlen	OTHER	NEGATIVE
choke	erwürgen	PERPETRATOR	NEGATIVE
clog	N/A	PERPETRATOR	NEGATIVE
coerce	nötigen	PERPETRATOR	POSITIVE
collude	konspirieren	PERPETRATOR	POSITIVE
commiserate	bemitleiden	OTHER	POSITIVE
compel	zwingen	OTHER	POSITIVE
complain	beschweren	OTHER	NEGATIVE
complicate	verkomplizieren	OTHER	NEGATIVE
concern	beunruhigen	OTHER	NEGATIVE
condemn	aburteilen	OTHER	NEGATIVE
condescend	herablassen	OTHER	NEGATIVE
confess	gestehen	OTHER	POSITIVE
confound	beeinträchtigen	OTHER	NEGATIVE
conspire	verschwören	PERPETRATOR	POSITIVE
constrain	einschränken	OTHER	NEGATIVE
consume	verzehren	OTHER	POSITIVE
contradict	bestreiten	OTHER	NEGATIVE
contravene	übertreten	OTHER	NEGATIVE
corrupt	korrumpieren	PERPETRATOR	NEGATIVE
cringe	erschaudern	OTHER	NEGATIVE
cripple	verkrüppeln	PERPETRATOR	NEGATIVE
crumble	zerbröseln	OTHER	NEGATIVE
crumple	zerquetschen	PERPETRATOR	NEGATIVE
